 Count  Overhead File                    Line Function
    84         0 …tras/src/verbosity.jl    99 #withlevel#34
    84         0 …s/Base/CoreLogging.jl     9 rrule(rc::Zygote.ZygoteRuleConfig…
    84         0 …se/logging/logging.jl   632 with_logger(f::Function, logger::…
    84         0 …s/Base/CoreLogging.jl    10 #860
    84         0 …tras/src/verbosity.jl   103 #35
    84        84 @Base/boot.jl            516 GenericMemory
    85         1 …ompiler/chainrules.jl   234 chain_rrule(::Zygote.ZygoteRuleCo…
    86         0 …dkin-Shenker/tests.jl    94 #206
    86         0 …henker/new_toolbox.jl   657 hook_pullback
    86         0 @Base/boot.jl            946 _apply
    86         0 …henker/new_toolbox.jl   658 #hook_pullback#186
    89         0 @OptimKit/src/lbfgs.jl    66 optimize(fg::var"#205#208", x::Tu…
    89         0 …dkin-Shenker/tests.jl    92 (::var"#205#208")(::Tuple{TensorM…
    89         0 …compiler/interface.jl   211 withgradient(f::Function, args::T…
    89         0 …compiler/interface.jl    94 pullback
    89         3 …compiler/interface.jl    96 pullback(f::Function, cx::Zygote.…
   112         0 @Zygote/src/lib/lib.jl   199 adjoint
   118         0 …eRules/src/adjoint.jl    67 _pullback
   137         0 …odeServer/src/eval.jl    34 (::VSCodeServer.var"#64#65")()
   137         0 @Base/essentials.jl     1052 invokelatest(::Any)
   137         0 @Base/essentials.jl     1055 #invokelatest#2
   137         0 …odeServer/src/eval.jl   263 (::VSCodeServer.var"#66#71"{VSCod…
   137         0 …se/logging/logging.jl   632 with_logger
   137         0 …se/logging/logging.jl   522 with_logstate(f::VSCodeServer.var…
   137         0 …odeServer/src/eval.jl   150 #67
   137         0 …odeServer/src/repl.jl    38 hideprompt(f::VSCodeServer.var"#6…
   137         0 …odeServer/src/eval.jl   179 (::VSCodeServer.var"#68#73"{Bool,…
   137         0 …odeServer/src/repl.jl   276 withpath(f::VSCodeServer.var"#69#…
   137         0 …odeServer/src/eval.jl   181 (::VSCodeServer.var"#69#74"{Bool,…
   137         0 …odeServer/src/eval.jl   268 kwcall(::@NamedTuple{softscope::B…
   137         0 …odeServer/src/eval.jl   271 inlineeval(m::Module, code::Strin…
   137         0 @Base/essentials.jl     1055 invokelatest(::Any, ::Any, ::Vara…
   137         0 @Base/loading.jl        2734 include_string(mapexpr::typeof(RE…
   137         0 @Base/boot.jl            430 eval
   137        42 @OptimKit/src/lbfgs.jl    56 kwcall(::@NamedTuple{retract::typ…
   182         0 …ulesCore/src/rules.jl   138 rrule
   183         0 …ompiler/chainrules.jl   234 chain_rrule
   281       281 @Base/partr.jl           179 multiq_check_empty()
   474         0 …it/src/utility/svd.jl   137 _tsvd!(t::TensorMap{ComplexF64, G…
   475         0 …it/src/utility/svd.jl   110 tsvd!
   475         0 …it/src/utility/svd.jl   111 #tsvd!#27
   481         0 …ompiler/chainrules.jl   246 chain_rrule_kw
   481         0 …ulesCore/src/rules.jl   144 rrule
   481         0 …it/src/utility/svd.jl   285 rrule
   481         0 …it/src/utility/svd.jl   293 #rrule#36
   481         0 …it/src/utility/svd.jl   109 tsvd
   481         0 …it/src/utility/svd.jl   109 #tsvd#26
   488         4 …s/ctmrg/projectors.jl   149 compute_projector
   494       494 …Algebra/src/lapack.jl  1698 gesdd!(job::Char, A::Base.Reshape…
   496         0 …ors/factorizations.jl   544 _tsvd!(t::TensorMap{ComplexF64, G…
   496         0 …ors/factorizations.jl   564 _compute_svddata!
   496         0 …rc/auxiliary/dicts.jl   152 SortedVectorDict
   496         0 …rc/auxiliary/dicts.jl   121 TensorKit.SortedVectorDict{Z2Irre…
   496         0 …ors/factorizations.jl   560 #317
   496         0 …c/auxiliary/linalg.jl   277 svd!
   502         0 …ors/factorizations.jl   524 tsvd!
   502         0 …ors/factorizations.jl   526 #tsvd!#313
   660         0 …ompiler/interface2.jl    81 _pullback(::Zygote.Context{false}…
   676         0 …ompiler/interface2.jl     ? macro expansion
  3541         0 …ompiler/chainrules.jl    31 has_chain_rrule(T::Type, world::U…
  3853         0 …ompiler/chainrules.jl    41 has_chain_rrule(T::Type, world::U…
  3999         1 …ompiler/chainrules.jl    38 has_chain_rrule(T::Type, world::U…
 11376         0 …lection/reflection.jl    74 meta(T::Any; types::Any, world::A…
 11376         0 …compiler/utilities.jl   212 specialize_method
 11376     11376 …compiler/utilities.jl   224 #specialize_method#317
 11392         0 …lection/reflection.jl    45 meta
 11394         0 …ompiler/interface2.jl    68 _pullback_generator(world::UInt64…
 11394         0 …ompiler/interface2.jl    24 _generate_pullback(::Type, ::UInt…
 19446         0 …s/ctmrg/projectors.jl   148 compute_projector
 19446      8047 …s/ctmrg/projectors.jl    37 svd_algorithm
