hx,hz,chi,D,E,infinite_tHooft,infinite_Wilson,infinite_Wilson_odd,FMstring,PKstring_odd
0.28,0.1,16,4,-2.0473275582928445,0.24401223401389857 + 5.379459119168647e-16im,-0.9864534372821195 - 2.48402490908013e-16im,NaN + NaN*im,0.5787697413460797,0.01846922744726455
0.28,0.1,16,6,-2.0478082748126747,0.32781956399033363 - 3.2883131105211155e-16im,-0.9852670369599346 + 5.986810173927324e-16im,NaN + NaN*im,0.6205254312721299,0.011484957777619747
0.28,0.28,16,4,-2.084503587976977,0.23619995704246033 + 5.263029628123207e-15im,0.9868810005127283 - 1.843567780987463e-15im,NaN + NaN*im,0.5874107629554829,0.009540490210279036
0.28,0.28,24,4,-2.081467002600781,-0.9847404545754731 - 2.829432524546012e-16im,0.237834415327525 + 5.970482352971224e-16im,NaN + NaN*im,1.8215367506290073e-5,0.019610932130545572
0.28,0.42,16,4,-2.1842688117656253,0.16789621210011674 - 3.558162768370249e-15im,0.9901716621288551 - 3.282230003144345e-16im,NaN + NaN*im,1.1418602616143177e-11,0.006148464880277737
0.28,0.42,24,4,-2.184268329502823,0.1679548824199404 + 2.754846596975476e-15im,0.9901862317371608 - 7.301714886552872e-16im,NaN + NaN*im,0.8193013024957151,0.010863418402996107
0.295,0.2,16,4,-2.0679859185524485,0.2643672218137903 - 4.456024577171749e-15im,0.9844745425847692 + 6.827031005640713e-16im,NaN + NaN*im,0.58109340456526,0.017374598117178435
0.295,0.2,24,4,-2.0666116483568864,0.9938769658993688 + 1.1184324581672634e-15im,-0.46379475868672987 + 1.8281182786148557e-16im,NaN + NaN*im,2.9478260318848476e-10,0.008356079671318132
0.29,0.0,16,4,-2.04640486385622,0.44932956722072254 + 0.0im,-0.982885932686137 - 5.183143445484203e-16im,NaN + NaN*im,0.42122074880853694,0.005297744334208331
0.29,0.0,24,4,-2.0464109550091147,0.4443732268374163 - 2.8152834508504953e-13im,0.9829608769479674 - 5.283250653515737e-16im,NaN + NaN*im,0.390224134384015,0.008223061009796117
0.29,0.0,36,4,-2.046409809467739,0.44532971619966955 - 5.658232730476745e-15im,-0.9829881852731771 - 1.4020337959710447e-15im,NaN + NaN*im,0.37021848876460545,0.014405461781794566
0.29,0.1,16,4,-2.0507028846229853,0.2594816114567828 - 3.419365522444679e-16im,-0.9850406909567262 + 4.366798420524612e-16im,NaN + NaN*im,0.5788076043341998,0.02173741539123792
0.29,0.1,16,6,-2.0512975115791816,0.3507850553723489 - 1.3551161183080245e-16im,-0.9834924304483262 + 9.248413828533992e-16im,NaN + NaN*im,0.6185973787697957,0.0052489832438969725
0.29,0.29,16,4,-2.0912304124180396,0.24999976004012017 + 8.078770661321053e-16im,0.98559228794471 + 7.800679719687574e-16im,NaN + NaN*im,0.5880689712042195,0.02566144262075237
0.29,0.29,24,4,-2.091222340523113,0.2499967221987513 - 7.367883764894106e-15im,-0.9855937388646442 + 4.229343160635591e-16im,NaN + NaN*im,0.5877245441489548,0.020551741306136115
0.29,0.41,16,4,-2.1160343079197808,-0.9713074679383612 + 2.5031930511099383e-16im,-0.8234438970187484 - 6.615066207032991e-16im,NaN + NaN*im,8.678366948268467e-6,0.007339638694356653
0.29,0.41,24,4,-2.116837925640757,0.9728224067602897 + 1.0645217319564986e-15im,0.8972783757888048 + 5.795486042616709e-16im,NaN + NaN*im,5.3279946481722684e-5,0.019477708294697485
0.2,0.1,36,4,-2.0257692183594265,0.14729163990095573 - 6.698159641679023e-11im,0.9941870382412472 - 2.764038348726788e-16im,NaN + NaN*im,0.50163911127238,0.007479140932453209
